epoch:178 train_loss:0.007481013890355825 test_acc:0.6936532211814185 test_loss:0.01595664769411087
epoch:179 train_loss:0.009686454199254513 test_acc:0.6793156184285988 test_loss:0.04127853736281395
epoch:180 train_loss:0.011305712163448334 test_acc:0.6742496654559358 test_loss:0.05443183705210686
epoch:181 train_loss:0.008907521143555641 test_acc:0.6835213152360925 test_loss:0.030903713777661324
epoch:182 train_loss:0.008536639623343945 test_acc:0.6815140508506977 test_loss:0.04391789808869362
epoch:183 train_loss:0.010448403656482697 test_acc:0.6753010896578092 test_loss:0.01869083382189274
epoch:184 train_loss:0.009933889843523502 test_acc:0.6665073599694131 test_loss:0.047405727207660675
epoch:185 train_loss:0.01098854374140501 test_acc:0.6920282928694322 test_loss:0.014890892431139946
epoch:186 train_loss:0.00864400528371334 test_acc:0.6868667558784172 test_loss:0.02241787686944008
epoch:187 train_loss:0.009536493569612503 test_acc:0.6834257312177404 test_loss:0.025199489668011665
epoch:188 train_loss:0.008897494524717331 test_acc:0.6828522271076276 test_loss:0.1288444697856903
epoch:189 train_loss:0.009428681805729866 test_acc:0.6973809978971516 test_loss:0.03363989666104317
epoch:190 train_loss:0.007847387343645096 test_acc:0.6781686102083732 test_loss:0.05035971850156784
epoch:191 train_loss:0.0095838513225317 test_acc:0.7103804243930415 test_loss:0.026333995163440704
epoch:192 train_loss:0.014446720480918884 test_acc:0.6926973809978971 test_loss:0.06932088732719421
epoch:193 train_loss:0.008130616508424282 test_acc:0.6931753010896579 test_loss:0.043036751449108124
epoch:194 train_loss:0.009073465131223202 test_acc:0.6766392659147391 test_loss:0.060242343693971634
epoch:195 train_loss:0.008400066755712032 test_acc:0.6901166125023896 test_loss:0.01064095925539732
epoch:196 train_loss:0.011892883107066154 test_acc:0.7018734467597018 test_loss:0.07559436559677124
epoch:197 train_loss:0.01630724035203457 test_acc:0.7054100554387307 test_loss:0.029719186946749687
epoch:198 train_loss:0.012932376936078072 test_acc:0.7105715924297458 test_loss:0.04241061955690384
epoch:199 train_loss:0.013390559703111649 test_acc:0.6990059262091378 test_loss:0.0477338582277298
epoch:200 train_loss:0.008097691461443901 test_acc:0.6996750143376027 test_loss:0.016356054693460464
epoch:201 train_loss:0.011112935841083527 test_acc:0.6978589179889123 test_loss:0.017773373052477837
epoch:202 train_loss:0.01311606727540493 test_acc:0.6942267252915313 test_loss:0.029834283515810966
epoch:203 train_loss:0.010217219591140747 test_acc:0.707130567769069 test_loss:0.05707864835858345
epoch:204 train_loss:0.00990778673440218 test_acc:0.7169757216593385 test_loss:0.014869325794279575
epoch:205 train_loss:0.008411385118961334 test_acc:0.7235710189256356 test_loss:0.02422350086271763
epoch:206 train_loss:0.01027321070432663 test_acc:0.7104760084113936 test_loss:0.022646090015769005
epoch:207 train_loss:0.008695978671312332 test_acc:0.7209902504301281 test_loss:0.03871868923306465
epoch:208 train_loss:0.009789719246327877 test_acc:0.7306442362836933 test_loss:0.029245343059301376
epoch:209 train_loss:0.01592426560819149 test_acc:0.7189829860447333 test_loss:0.014648465439677238
epoch:210 train_loss:0.007745563052594662 test_acc:0.7125788568151405 test_loss:0.06949398666620255
epoch:211 train_loss:0.008983483538031578 test_acc:0.7152552093290002 test_loss:0.015000472776591778
epoch:212 train_loss:0.006579369306564331 test_acc:0.7310265723571019 test_loss:0.03311473876237869
epoch:213 train_loss:0.008084247820079327 test_acc:0.7378130376601032 test_loss:0.04003601521253586
epoch:214 train_loss:0.004219491966068745 test_acc:0.7243356910724527 test_loss:0.0455334447324276
epoch:215 train_loss:0.017838940024375916 test_acc:0.7421143184859491 test_loss:0.041777048259973526
epoch:216 train_loss:0.013614702969789505 test_acc:0.7367616134582298 test_loss:0.010005447082221508
epoch:217 train_loss:0.008498474955558777 test_acc:0.715828713439113 test_loss:0.048067767173051834
epoch:218 train_loss:0.010965707711875439 test_acc:0.7324603326323839 test_loss:0.029694974422454834
epoch:219 train_loss:0.006676831748336554 test_acc:0.7367616134582298 test_loss:0.03832559660077095
epoch:220 train_loss:0.009266526438295841 test_acc:0.7416363983941885 test_loss:0.038522616028785706
epoch:221 train_loss:0.0077016218565404415 test_acc:0.7257694513477346 test_loss:0.024620110169053078
epoch:222 train_loss:0.011621100828051567 test_acc:0.7257694513477346 test_loss:0.06228172034025192
epoch:223 train_loss:0.008140575140714645 test_acc:0.7421143184859491 test_loss:0.012456321157515049
epoch:224 train_loss:0.013112543150782585 test_acc:0.7426878225960619 test_loss:0.022851338610053062
epoch:225 train_loss:0.00561088602989912 test_acc:0.7422099025043013 test_loss:0.009268258698284626
epoch:226 train_loss:0.010175490751862526 test_acc:0.7225195947237621 test_loss:0.01729617640376091
epoch:227 train_loss:0.005805691704154015 test_acc:0.7498566239724718 test_loss:0.02155028097331524
epoch:228 train_loss:0.00614485889673233 test_acc:0.7519594723762187 test_loss:0.037117309868335724
epoch:229 train_loss:0.00993711780756712 test_acc:0.7278722997514816 test_loss:0.03836400806903839
epoch:230 train_loss:0.0063215321861207485 test_acc:0.7437392467979353 test_loss:0.022300953045487404
epoch:231 train_loss:0.008830903097987175 test_acc:0.7491875358440069 test_loss:0.021623212844133377
epoch:232 train_loss:0.008955774828791618 test_acc:0.7394379659720894 test_loss:0.023372624069452286
epoch:233 train_loss:0.008097524754703045 test_acc:0.7526285605046836 test_loss:0.025151977315545082
epoch:234 train_loss:0.0074767377227544785 test_acc:0.7388644618619766 test_loss:0.008988095447421074
epoch:235 train_loss:0.00841110572218895 test_acc:0.744981839036513 test_loss:0.012375546619296074
epoch:236 train_loss:0.0032035261392593384 test_acc:0.736188109348117 test_loss:0.028296656906604767
